Issue,Target,Pages,HTML,Flags,Impact,Requires involvement of,Tags
Elements must meet minimum color contrast ratio thresholds,"#strategy-1-heading
#strategy-2-heading
#strategy-3-heading",https://ethicic.com/solutions,"<h3 id=""strategy-1-heading"" class=""font-mono text-lg font-semibold text-slate-900 dark:text-slate-100"">
              Growth Strategy
            </h3>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""strategy-1-heading""] > .space-y-4.mb-6 > .font-medium.text-slate-700.dark\:text-slate-300
div[aria-labelledby=""strategy-2-heading""] > .space-y-4.mb-6 > .font-medium.text-slate-700.dark\:text-slate-300
div[aria-labelledby=""strategy-3-heading""] > .space-y-4.mb-6 > .font-medium.text-slate-700.dark\:text-slate-300",https://ethicic.com/solutions,"<p class=""font-medium text-slate-700 dark:text-slate-300"">
              Our Flagship Approach - High-conviction portfolios where our ethical criteria can be fully implemented without compromise.
            </p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""strategy-1-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(1) > span:nth-child(2)
div[aria-labelledby=""strategy-1-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(2) > span:nth-child(2)
div[aria-labelledby=""strategy-1-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(3) > span:nth-child(2)
div[aria-labelledby=""strategy-1-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(4) > span:nth-child(2)
div[aria-labelledby=""strategy-2-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(1) > span:nth-child(2)
div[aria-labelledby=""strategy-2-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(2) > span:nth-child(2)
div[aria-labelledby=""strategy-2-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(3) > span:nth-child(2)
div[aria-labelledby=""strategy-2-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(4) > span:nth-child(2)
div[aria-labelledby=""strategy-3-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(1) > span:nth-child(2)
div[aria-labelledby=""strategy-3-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(2) > span:nth-child(2)
div[aria-labelledby=""strategy-3-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(3) > span:nth-child(2)
div[aria-labelledby=""strategy-3-heading""] > .space-y-4.mb-6 > .space-y-2 > .space-x-2.items-start.flex:nth-child(4) > span:nth-child(2)",https://ethicic.com/solutions,<span>Focus: 15-25 Companies</span>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"section[role=""complementary""] > .card-header-ec > .panel-title-ec",https://ethicic.com/solutions,"<div class=""panel-title-ec"">WHO WE SERVE</div>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,#individuals-heading,https://ethicic.com/solutions,"<h3 id=""individuals-heading"" class=""mb-4 font-mono text-xl font-semibold text-purple-400"">
            For Individual Investors
          </h3>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""individuals-heading""] > .space-y-4.mb-6.text-slate-600 > p:nth-child(1)",https://ethicic.com/solutions,<p>Take your first step toward ethical investing or jump in with both feet. Our personalized approach helps you align your investments with your values while achieving your financial goals.</p>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""individuals-heading""] > .space-y-4.mb-6.text-slate-600 > p:nth-child(2) > strong",https://ethicic.com/solutions,<strong>What we offer:</strong>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""individuals-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(1)
div[aria-labelledby=""individuals-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(2)
div[aria-labelledby=""individuals-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(3)
div[aria-labelledby=""individuals-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(4)",https://ethicic.com/solutions,<li>Concentrated ethical portfolios that exclude 57% of the S&amp;P 500</li>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,#institutions-heading,https://ethicic.com/solutions,"<h3 id=""institutions-heading"" class=""mb-4 font-mono text-xl font-semibold text-purple-400"">
            For Institutional Investors
          </h3>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""institutions-heading""] > .space-y-4.mb-6.text-slate-600 > p:nth-child(1)",https://ethicic.com/solutions,"<p>Scalable ethical investment solutions for endowments, pension funds, and institutional clients who require sophisticated strategies at institutional scale.</p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""institutions-heading""] > .space-y-4.mb-6.text-slate-600 > p:nth-child(2) > strong",https://ethicic.com/solutions,<strong>Our institutional capabilities:</strong>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""institutions-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(1)
div[aria-labelledby=""institutions-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(2)
div[aria-labelledby=""institutions-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(3)
div[aria-labelledby=""institutions-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(4)",https://ethicic.com/solutions,<li>Custom investment mandates and reporting</li>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,#advisors-heading,https://ethicic.com/solutions,"<h3 id=""advisors-heading"" class=""mb-4 font-mono text-xl font-semibold text-purple-400"">
            For Investment Advisers
          </h3>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""advisors-heading""] > .space-y-4.mb-6.text-slate-600 > p:nth-child(1)",https://ethicic.com/solutions,"<p>Partner with us to serve clients who want their portfolios to align with their principles. We provide the specialized research, proven strategies, and operational support you need.</p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""advisors-heading""] > .space-y-4.mb-6.text-slate-600 > p:nth-child(2) > strong",https://ethicic.com/solutions,<strong>Adviser partnership benefits:</strong>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"div[aria-labelledby=""advisors-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(1)
div[aria-labelledby=""advisors-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(2)
div[aria-labelledby=""advisors-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(3)
div[aria-labelledby=""advisors-heading""] > .space-y-4.mb-6.text-slate-600 > ul > li:nth-child(4)",https://ethicic.com/solutions,<li>White-label investment strategies and reporting</li>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"section[aria-labelledby=""why-heading""] > .card-header-ec > .panel-title-ec",https://ethicic.com/solutions,"<div class=""panel-title-ec"">WHY ETHICAL CAPITAL</div>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,#why-heading,https://ethicic.com/solutions,"<h2 id=""why-heading"" class=""mb-8 font-mono text-2xl font-semibold text-purple-400"">
        A Different Approach to Ethical Investing
      </h2>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,".p-6.dark\:bg-gray-800.shadow-lg:nth-child(1) > h4
.p-6.dark\:bg-gray-800.shadow-lg:nth-child(2) > h4
.p-6.dark\:bg-gray-800.shadow-lg:nth-child(3) > h4
.p-6.dark\:bg-gray-800.shadow-lg:nth-child(4) > h4",https://ethicic.com/solutions,"<h4 class=""mb-3 font-mono text-lg font-semibold text-slate-900 dark:text-slate-100"">
            Rigorous Screening
          </h4>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,".gap-6.md\:grid-cols-2.grid > .p-6.dark\:bg-gray-800.shadow-lg:nth-child(1) > .text-slate-600.dark\:text-slate-400
.gap-6.md\:grid-cols-2.grid > .p-6.dark\:bg-gray-800.shadow-lg:nth-child(2) > .text-slate-600.dark\:text-slate-400
.gap-6.md\:grid-cols-2.grid > .p-6.dark\:bg-gray-800.shadow-lg:nth-child(3) > .text-slate-600.dark\:text-slate-400",https://ethicic.com/solutions,"<p class=""text-slate-600 dark:text-slate-400"">
            We exclude 57% of the S&amp;P 500 through comprehensive ethical criteria that go beyond standard ESG metrics.
          </p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,.p-6.dark\:bg-gray-800.shadow-lg:nth-child(4) > .text-slate-600.dark\:text-slate-400,https://ethicic.com/solutions,"<p class=""text-slate-600 dark:text-slate-400"">
            Our screening criteria are open source. You'll always know exactly what you own and why.
          </p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,#cta-heading,https://ethicic.com/solutions,"<h2 id=""cta-heading"" class=""mb-6 font-mono text-3xl font-bold text-slate-900 dark:text-slate-100"">
        Ready to Align Your Investments with Your Values?
      </h2>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,.prose.mx-auto.mb-8 > p,https://ethicic.com/solutions,<p>Let's find the perfect solution for your needs. Contact us to discuss how we can help you achieve your investment goals while staying true to your values.</p>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,".gap-6.items-start.flex:nth-child(1) > .flex-1 > .text-2xl
.gap-6.items-start.flex:nth-child(2) > .flex-1 > .text-2xl
.gap-6.items-start.flex:nth-child(3) > .flex-1 > .text-2xl
.gap-6.items-start.flex:nth-child(4) > .flex-1 > .text-2xl",https://ethicic.com/process,"<h3 class=""mb-4 text-2xl font-bold text-gray-100"">Ethical Screening &amp; Exclusions</h3>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"p[data-block-key=""fmi1i""]",https://ethicic.com/process,"<p data-block-key=""fmi1i"">",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,".mb-8:nth-child(3) > .mb-2.text-xl.font-bold
.mb-8:nth-child(4) > .mb-2.text-xl.font-bold",https://ethicic.com/process,"<h4 class=""mb-2 text-xl font-bold text-gray-100"">PRODUCT-BASED EXCLUSIONS</h4>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"p[data-block-key=""b4ph5""]",https://ethicic.com/process,"<p data-block-key=""b4ph5"">We exclude companies whose business models depend on creating products that harm living beings.</p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,".border-red-200.bg-red-50.dark\:border-red-800:nth-child(1) > .text-red-800.dark\:text-red-200
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(2) > .text-red-800.dark\:text-red-200
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(3) > .text-red-800.dark\:text-red-200
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(4) > .text-red-800.dark\:text-red-200
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(5) > .text-red-800.dark\:text-red-200",https://ethicic.com/process,"<h5 class=""mb-3 font-semibold text-red-800 dark:text-red-200"">Animal Products</h5>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,".border-red-200.bg-red-50.dark\:border-red-800:nth-child(1) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(1) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(1) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(2) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(1) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(3) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(1) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(4) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(1) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(5) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(2) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(1) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(2) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(2) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(2) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(3) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(2) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(4) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(3) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(1) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(3) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(2) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(3) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(3) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(3) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(4) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(4) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(1) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(4) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(2) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(4) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(3) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(4) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(4) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(5) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(1) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(5) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(2) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(5) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(3) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(5) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(4) > span:nth-child(2)
.border-red-200.bg-red-50.dark\:border-red-800:nth-child(5) > .text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(5) > span:nth-child(2)",https://ethicic.com/process,"<span>→ Meat, dairy, eggs production</span>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,.text-red-700.dark\:text-red-300.space-y-1 > .gap-2.items-start:nth-child(6) > span:nth-child(2),https://ethicic.com/process,<span>→ Entertainment using live animals</span>,,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
Elements must meet minimum color contrast ratio thresholds,"p[data-block-key=""59wn4""]",https://ethicic.com/process,"<p data-block-key=""59wn4"">Even companies making beneficial products can cause harm through their conduct. We track patterns of behavior that damage communities, workers, and ecosystems.</p>",,Serious,UI designer,"WCAG 2.1 AA, WCAG 1.4.3, WCAG 2.0 AA, EN 301 549, Section 508, WCAG 2.2 AA, ACT, EN 301 549 9.1.4.3"
